candidate_id,signal_id,timestamp_jst,candidate_type,active_primary_action,side,entry_mode,entry_price,stop_price,tp1_price,tp2_price,outcome,entry_reached_time,first_exit_time,first_exit_reason,mfe_price,mae_price,mfe_r,mae_r,notes,source_signal_id,candidate_status,entry_zone_low,entry_zone_high,stop_loss,tp1,tp2,rr_current_tp1,rr_current_tp2,rr_zone_mid_tp1,rr_zone_mid_tp2,market_entry_status,limit_entry_status,counter_scalp_status,breakout_status,active_subject_label,active_headline,next_condition
20260706_230500:long:limit_retest,20260706_230500,2026-07-07T08:05:00.861533+09:00,limit_retest,ACTIVE_LIMIT_RETEST,long,limit,63580.2,63123.36,64174.09,64676.60,sl_first,2026-07-07T11:15:00+09:00,2026-07-07T13:00:00+09:00,sl,274.80,463.20,0.6015,1.0139,,20260706_230500,allowed,63484.37,63676.03,63123.36,64174.09,64676.6,,0.41,1.3,2.4,blocked,allowed,blocked,blocked,押し目買い待ち,上方向優勢。ただし成行ロング不可。押し目買い待ち。,"63,484-63,676 へ押し、15分足で反発継続なら候補"
20260707_000500:short:market,20260707_000500,2026-07-07T09:05:00.357163+09:00,market,ACTIVE_MARKET_SMALL,short,market,64023.6,64348.26,63352.80,62876.71,tp1_first,2026-07-07T09:15:00+09:00,2026-07-07T11:45:00+09:00,tp1,761.00,274.50,2.3440,0.8455,,20260707_000500,allowed,63802.37,64028.53,64348.26,63352.8,62876.71,2.07,3.53,1.3,2.4,allowed,allowed,blocked,blocked,小ロット成行ショート候補,下方向優勢。成行ショート可。戻り売り待ち。,"63,802-64,029 へ戻り、15分足で再失速するなら候補"
20260707_010500:long:limit_retest,20260707_010500,2026-07-07T10:05:00.281305+09:00,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,long,limit,63986.1,63624.73,64455.88,64853.38,sl_first,2026-07-07T10:15:00+09:00,2026-07-07T11:15:00+09:00,sl,43.70,442.60,0.1209,1.2248,,20260707_010500,allowed,63943.59,64028.61,63624.73,64455.88,64853.38,0.51,1.23,1.3,2.4,blocked,allowed,blocked,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,944-64,029 へ押し、15分足で反発継続なら候補"
20260707_010500:short:counter_scalp,20260707_010500,2026-07-07T10:05:00.281305+09:00,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,short,conditional,64175.3,64684.37,63824.59,63413.39,not_entered,,,,,,,,,20260707_010500,conditional,64255.59,64365.51,64684.37,63824.59,63413.39,0.69,1.5,1.3,2.4,blocked,allowed,conditional,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"64,256-64,366 へ戻り、15分足で再失速するなら候補"
20260707_020500:long:counter_scalp,20260707_020500,2026-07-07T11:05:00.524144+09:00,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,long,conditional,63815.0,63171.18,64111.93,64561.85,sl_first,2026-07-07T11:15:00+09:00,2026-07-07T12:30:00+09:00,sl,40.00,663.50,0.0621,1.0306,,20260707_020500,conditional,63489.99,63670.41,63171.18,64111.93,64561.85,0.46,1.16,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,490-63,670 へ押し、15分足で反発継続なら候補"
20260707_020500:short:limit_retest,20260707_020500,2026-07-07T11:05:00.524144+09:00,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,short,limit,63915.45,64347.22,63354.15,62879.20,tp1_first,2026-07-07T11:15:00+09:00,2026-07-07T11:45:00+09:00,tp1,652.85,0.00,1.5120,0.0000,,20260707_020500,allowed,63802.49,64028.41,64347.22,63354.15,62879.2,0.87,1.76,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,802-64,028 へ戻り、15分足で再失速するなら候補"
20260707_030500:long:counter_scalp,20260707_030500,2026-07-07T12:05:00.283718+09:00,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,long,conditional,63298.2,62774.44,63731.72,64189.54,sl_first,2026-07-07T12:15:00+09:00,2026-07-07T14:00:00+09:00,sl,46.90,543.30,0.0895,1.0373,,20260707_030500,conditional,63102.64,63278.66,62774.44,63731.72,64189.54,0.83,1.7,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,103-63,279 へ押し、15分足で反発継続なら候補"
20260707_030500:short:limit_retest,20260707_030500,2026-07-07T12:05:00.283718+09:00,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,short,limit,63447.9,63819.86,62964.36,62555.21,tp1_first,2026-07-07T16:00:00+09:00,2026-07-07T17:30:00+09:00,tp1,485.50,0.00,1.3052,0.0000,,20260707_030500,allowed,63404.14,63491.66,63819.86,62964.36,62555.21,0.64,1.42,1.3,2.4,blocked,allowed,blocked,watch,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,404-63,492 へ戻り、15分足で再失速するなら候補"
20260707_040500:long:counter_scalp,20260707_040500,2026-07-07T13:05:00.862502+09:00,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,long,conditional,63165.0,62812.41,63682.36,64098.43,sl_first,2026-07-07T13:15:00+09:00,2026-07-07T14:00:00+09:00,sl,101.20,410.10,0.2870,1.1631,,20260707_040500,conditional,63107.11,63274.19,62812.41,63682.36,64098.43,1.47,2.65,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,107-63,274 へ押し、15分足で反発継続なら候補"
20260707_040500:short:limit_retest,20260707_040500,2026-07-07T13:05:00.862502+09:00,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,short,limit,63212.6,63560.49,62760.34,62377.66,tp1_first,2026-07-07T13:15:00+09:00,2026-07-07T14:00:00+09:00,tp1,457.70,53.60,1.3156,0.1541,,20260707_040500,allowed,63159.41,63265.79,63560.49,62760.34,62377.66,1.02,1.99,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,159-63,266 へ戻り、15分足で再失速するなら候補"
