schema_version,trial_fact_id,scenario_id,scenario_event_id,signal_id,candidate_id,event_timestamp_utc,side,setup_family,market_regime,operator_class,classifier_method_version,trade_execution_gate,phase1b_lite_gate,opportunity_gate,reason_codes,warning_codes,no_trade_flags,risk_flags,entry_zone_low,entry_zone_high,invalidation_price,tp1_price,tp2_price,outcome_status,intraperiod_outcome,first_exit_reason,mfe_r,mae_r,ohlcv_coverage_status,ohlcv_gap_reason,zone_result,direction_result,comparison_status,actual_episode_id,actual_link_confidence,actual_net_pnl_after_fee,evidence_tier,issue_flags
manual_operator_trial_evidence.v1,tf_840a694fc58538afb0930ac8,scn_4d0449087524bf550bc70278,sce_057e35d3f30c812448910f5d,20260706_230500,20260706_230500:long:limit_retest,2026-07-06T23:05:00.861533Z,long,limit_retest,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,blocked,stop_no_trade_flag,,breakout_follow_candidate;upside_breakout_follow_watch,ask_wall_close;long_flush_exhaustion;lower_liquidity_close;resistance_to_support_flip;resistance_to_support_retest_confirmed;sweep_incomplete;trend_flip_early_up,63484.37,63676.03,63123.36,64174.09,64676.6,resolved_negative,sl_first,sl,0.6015,1.0139,,,,,aligned,,,,proxy_only,stop_useful_proxy
manual_operator_trial_evidence.v1,tf_4f59c7b1156372100832b1b2,scn_33284ca443698adb38ec352b,sce_58daf7eceac7de2a519eed2b,20260707_000500,20260707_000500:short:market,2026-07-07T00:05:00.357163Z,short,market,transition,C_WATCH_ZONE,manual_operator_classifier.v1,blocked,blocked,blocked,c_wait_direction_below_threshold;c_wait_setup_not_ready,critical_zone_warning,,failed_breakout_down_reversal;long_flush_exhaustion;long_into_major_resistance;major_resistance_rejection;orderbook_bid_heavy;trend_flip_early_down;upper_liquidity_close,63802.37,64028.53,64348.26,63352.8,62876.71,resolved_positive,tp1_first,tp1,2.3440,0.8455,,,useful,,too_defensive,,,,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,tf_f9d64d0b0ca3091711d759d2,scn_9c35824cfe962721796dd208,sce_18ebf92ffbe9a494208265ee,20260707_010500,20260707_010500:long:limit_retest,2026-07-07T01:05:00.281305Z,long,limit_retest,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,blocked,stop_no_trade_flag,,breakout_follow_candidate;long_at_major_resistance_wait_only;upside_breakout_follow_watch,long_into_major_resistance;lower_liquidity_close;major_resistance_rejection;resistance_to_support_flip;resistance_to_support_retest_confirmed;short_into_major_support;sweep_incomplete;trend_flip_early_up,63943.59,64028.61,63624.73,64455.88,64853.38,resolved_negative,sl_first,sl,0.1209,1.2248,,,,,aligned,,,,proxy_only,stop_useful_proxy
manual_operator_trial_evidence.v1,tf_08c1b2c23343460cc88fd06e,scn_62b1491bbd88139debebee57,sce_8941cb7e37b21659d75dd3b4,20260707_010500,20260707_010500:short:counter_scalp,2026-07-07T01:05:00.281305Z,short,counter_scalp,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,blocked,stop_no_trade_flag,,breakout_follow_candidate;long_at_major_resistance_wait_only;upside_breakout_follow_watch,long_into_major_resistance;lower_liquidity_close;major_resistance_rejection;resistance_to_support_flip;resistance_to_support_retest_confirmed;short_into_major_support;sweep_incomplete;trend_flip_early_up,64255.59,64365.51,64684.37,63824.59,63413.39,not_entered,not_entered,,,,,,,,unresolved,,,,proxy_only,P8-ISSUE-001_GLOBAL_STOP_MASKS_SIDE_OPPORTUNITY
manual_operator_trial_evidence.v1,tf_c6be79793b6a25c17f687485,scn_9894d86c590fcccdd384eb67,sce_3608c92c3ac888aea0f6e4cd,20260707_020500,20260707_020500:long:counter_scalp,2026-07-07T02:05:00.524144Z,long,counter_scalp,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,blocked,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,long_into_major_resistance;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_early_down;upper_liquidity_close,63489.99,63670.41,63171.18,64111.93,64561.85,resolved_negative,sl_first,sl,0.0621,1.0306,,,,,aligned,,,,proxy_only,P8-ISSUE-001_GLOBAL_STOP_MASKS_SIDE_OPPORTUNITY;stop_useful_proxy
manual_operator_trial_evidence.v1,tf_51d72eec475032e0c2bdc17e,scn_09554befdd4346e00f620598,sce_f086e0f7c6492af29ac21aa8,20260707_020500,20260707_020500:short:limit_retest,2026-07-07T02:05:00.524144Z,short,limit_retest,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,blocked,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,long_into_major_resistance;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_early_down;upper_liquidity_close,63802.49,64028.41,64347.22,63354.15,62879.2,resolved_positive,tp1_first,tp1,1.5120,0.0000,,,useful,,too_defensive,,,,proxy_only,high_value_missed_opportunity_proxy;stop_false_alarm_proxy
manual_operator_trial_evidence.v1,tf_9dacb8137e4e9e1afeab1680,scn_6fe7246a593a3494c0761779,sce_4a8f37ef6e1ab332330f7151,20260707_030500,20260707_030500:long:counter_scalp,2026-07-07T03:05:00.283718Z,long,counter_scalp,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,pass,stop_no_trade_flag,,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;failed_breakout_down_reversal;long_flush_exhaustion;long_into_major_resistance;major_resistance_rejection;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_early_down,63102.64,63278.66,62774.44,63731.72,64189.54,resolved_negative,sl_first,sl,0.0895,1.0373,,,,,aligned,,,,proxy_only,P8-ISSUE-001_GLOBAL_STOP_MASKS_SIDE_OPPORTUNITY;stop_useful_proxy
manual_operator_trial_evidence.v1,tf_5be52a40a381dc2e7e756676,scn_7d954f07a7f53490e35badc4,sce_e6e002d5391391e88b835057,20260707_030500,20260707_030500:short:limit_retest,2026-07-07T03:05:00.283718Z,short,limit_retest,transition,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,pass,stop_no_trade_flag,,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;failed_breakout_down_reversal;long_flush_exhaustion;long_into_major_resistance;major_resistance_rejection;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_early_down,63404.14,63491.66,63819.86,62964.36,62555.21,resolved_positive,tp1_first,tp1,1.3052,0.0000,,,useful,,too_defensive,,,,proxy_only,high_value_missed_opportunity_proxy;stop_false_alarm_proxy
manual_operator_trial_evidence.v1,tf_f1e1b7ec1e4ace7bedd7ceec,scn_80629cedfe5c89590631ae57,sce_3c7ad5cf9e030eec7079e29d,20260707_050500,20260707_050500:long:counter_scalp,2026-07-07T05:05:00.501045Z,long,counter_scalp,range,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,blocked,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;long_flush_exhaustion;long_into_major_resistance;orderbook_bid_heavy;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_confirmed_down;upper_liquidity_close,62771.54,62895.66,62504.81,63261.03,63622.7,resolved_positive,tp1_first,tp1,0.5394,0.5060,,,useful,,too_defensive,,,,proxy_only,P8-ISSUE-001_GLOBAL_STOP_MASKS_SIDE_OPPORTUNITY;high_value_missed_opportunity_proxy;stop_false_alarm_proxy
manual_operator_trial_evidence.v1,tf_82d08a1c9019cd954af071b0,scn_b329f55e70375ba771697a0f,sce_8de1bd510e109b5877bac738,20260707_050500,20260707_050500:short:limit_retest,2026-07-07T05:05:00.501045Z,short,limit_retest,range,STOP_OR_EXIT,manual_operator_classifier.v1,blocked,blocked,blocked,stop_no_trade_flag,critical_zone_warning,breakout_follow_candidate;downside_breakdown_follow_watch;short_at_major_support_wait_only,bid_wall_close;long_flush_exhaustion;long_into_major_resistance;orderbook_bid_heavy;short_into_major_support;support_to_resistance_flip;support_to_resistance_retest_confirmed;sweep_incomplete;trend_flip_confirmed_down;upper_liquidity_close,63048.44,63119.56,63386.29,62691.02,62358.5,resolved_negative,sl_first,sl,0.5660,1.1155,,,,,aligned,,,,proxy_only,stop_useful_proxy
