schema_version,review_item_id,question_type,scenario_id,scenario_event_id,signal_id,side,policy_name,question,selectable_options,evidence_tier,issue_flags
manual_operator_trial_evidence.v1,rq_007b35e59a5df39786160dd1,missing_human_intent,scn_954501bb90173ae7f866577c,sce_3ecb44219757721b03111617,20260710_210500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_0249178cc95d81a8e07f8820,missing_human_intent,scn_6661bfa1dc36a159478fb8db,sce_ecaa4640d5465ccabcb2cce4,20260707_190500,short,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_06d4da8b57a44921879408e5,missing_human_intent,scn_7fb1cbf89907735b4a464fd5,sce_38c29f8f682f372c11899f92,20260708_130500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_0d316a5f19f6eb4426ff0cc6,missing_human_intent,scn_f4fb7de409fc690560620610,sce_136681be71707ce8dedafee4,20260709_050500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_161ef9a7238f8c05e1eb5647,missing_human_intent,scn_19a0dc0070ce54d3950bd92c,sce_39612a40dd17ca5e91032398,20260710_010500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_1e43e0351f6f0766016387df,missing_human_intent,scn_f7a513997b7d27eb72925ac5,sce_e4833c5e1a7b9e50f6da923c,20260707_090500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_224cce37cbecdcf7e928b05b,missing_human_intent,scn_09554befdd4346e00f620598,sce_f086e0f7c6492af29ac21aa8,20260707_020500,short,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_2736d2011d80ddc7429a3d61,missing_human_intent,scn_380805f6da6c284a26e79316,sce_60f535b12f0a39ddb7a3fb5f,20260707_130501,short,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_3095b399aec54bbee4de8e2f,missing_human_intent,scn_e5605b6b218794a011cd52cd,sce_a7fdc99318a9b68a2624fce3,20260708_060500,short,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_43fb24019936ddf25ad946da,missing_human_intent,scn_02eb2f8dbf9c246319af6d31,sce_2ac8e99ca285766e9f281341,20260709_070500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_507e5e78b4d97026b24ef3d2,missing_human_intent,scn_073007f7df42ccf951c9b3c2,sce_5442260291e7cc032717e085,20260709_180501,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_536432173441d0f817055c54,missing_human_intent,scn_0842ce17021654aadccff607,sce_943699ef106b389b340db6e3,20260711_180500,short,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_5808d2e260168fa6705dd677,missing_human_intent,scn_e2e4ddd9c19b45e2bada0546,sce_b8e0a6be4bddb15e6ed4f9a7,20260709_080500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_732f67daa0c101eb509d17ad,missing_human_intent,scn_a19cee4b8afdc8dc81d31fde,sce_2f3d96b873f713b19298d43a,20260708_090500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_73ae95ff708e779266fe9163,missing_human_intent,scn_64d7a258c311748c018795e5,sce_d7347fd3e555e21522cff337,20260708_020501,short,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_745c98fd5204ff4d91ff0d17,missing_human_intent,scn_5c84d759283b2c1bb4c2e1ce,sce_0715c06ea33c25ad14fa7025,20260710_150500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_747a82ac8ed68234f9f4ef32,missing_human_intent,scn_932cb64191723e5d1e30d1e2,sce_9784fce8b7d9633880e080a6,20260710_050500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_75ff0b5f6ecdc967a9352028,missing_human_intent,scn_f39eedf73832ad088183b813,sce_5e54382ed670a5b419e86abe,20260709_030500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_789ce20c576c327a865894f0,missing_human_intent,scn_e7fe29d613f168238924f883,sce_d5eecef735c8f491cc3f899e,20260711_160500,short,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_8a6f298f0b18805109035e73,missing_human_intent,scn_575e9c582df722dfbbc08ddf,sce_f214b9eb6fb07abc3d173599,20260708_090500,short,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_8fb23fbce5c1783228bf1541,missing_human_intent,scn_7d954f07a7f53490e35badc4,sce_e6e002d5391391e88b835057,20260707_030500,short,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_9524b6bc1628f60dc95325b1,missing_human_intent,scn_75de6e9c7621b22053b62096,sce_c42e17b050bd3b4e32a15920,20260708_210500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_9f5cae4226d02ce178dfc979,missing_human_intent,scn_79755a50a6ed7b5a9d5cd811,sce_2b066674561287e44b357a7f,20260707_120500,short,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_a51094f4f58e66a64ff2ebd5,missing_human_intent,scn_6867dcc56c5e8bf8465bf56e,sce_a3d408c9798dd474db5a6542,20260707_220500,short,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_b94f5051734c89eb39ef5809,missing_human_intent,scn_8dc05be728dbf10179d3cd2e,sce_5e62acde81b378e04bad29d1,20260710_090500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_b970fc069aea459f06e64aa1,missing_human_intent,scn_6837175a347a15af320c4340,sce_8664fba7d2e713d04d04908e,20260709_140501,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_ba33a0fd80bb519df2cb1361,missing_human_intent,scn_929e77989d9be58382732eec,sce_fb6cf947dc9991f05deb37c0,20260707_100500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_ba4b134e015d24454a5cc737,missing_human_intent,scn_789eba0ef9dbdebb189f1d1f,sce_073d235131245d0c1e0064d8,20260709_070500,short,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_c464cce4c2354f4d6d2d692f,missing_human_intent,scn_80629cedfe5c89590631ae57,sce_3c7ad5cf9e030eec7079e29d,20260707_050500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_cc352de89f7e6b89b912c57d,missing_human_intent,scn_33284ca443698adb38ec352b,sce_58daf7eceac7de2a519eed2b,20260707_000500,short,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_ce91933da2e2f890b00e143c,missing_human_intent,scn_f37b8c42b573ead19871c5b8,sce_4bb36b56cdf8aa2ca6e316da,20260708_170500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_d5cf1fe4688bbc8ca0fc38ca,missing_human_intent,scn_202adbe899b05abed8070b07,sce_aace4cf91506c252e4a4e455,20260708_110500,short,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_dbbdd1685d88467a8c6530ac,missing_human_intent,scn_bb034485d77ce6c646baa084,sce_74abe5c857fd514724bc0f06,20260707_160500,short,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_de90b2701d7842799dea21f1,missing_human_intent,scn_47107865608b80bcdb4ff5b3,sce_dcbaf0b86c279696509569dd,20260708_140500,short,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_ebd6cf5e0503d153754484ed,missing_human_intent,scn_ed5f76186bbc0752d307e541,sce_32d751dc190bdf8c9cbe2a74,20260711_090500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_f1ccdf2b7ba98604d1b63abe,missing_human_intent,scn_78a046f4dc87495b19176472,sce_e341edafddbb12d226170826,20260709_010500,short,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_f48717d4e3b7c71368fac47a,missing_human_intent,scn_9376af339995ba39e2c46f65,sce_2a14df9b23dab1b07faf8a10,20260709_150500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
manual_operator_trial_evidence.v1,rq_fa1bfb5c1be8d952884755e9,missing_human_intent,scn_f26121eeb9d3c1713be80dcf,sce_5b691d55a0aa3739edf9aacc,20260711_020500,long,,この機会を見送った主因は何か,not_seen;trigger_missing;stop_followed;timing;unclear,proxy_only,high_value_missed_opportunity_proxy
