schema_version,scenario_event_id,scenario_id,candidate_id,candidate_fingerprint,source_signal_id,event_timestamp_utc,event_timestamp_jst,event_type,grouping_status,symbol,side,candidate_type,setup_family,active_primary_action,candidate_status,entry_mode,entry_price,entry_zone_low,entry_zone_high,invalidation_price,tp1_price,tp2_price,next_condition,intraperiod_outcome,entry_reached_time,first_exit_time,first_exit_reason,mfe_r,mae_r,ohlcv_coverage_status,ohlcv_gap_reason,reason_codes,scenario_method_version
manual_scenario_event.v1,sce_057e35d3f30c812448910f5d,scn_4d0449087524bf550bc70278,20260706_230500:long:limit_retest,f3cf5e2ebb135abefb5336a706a42dc3,20260706_230500,2026-07-06T23:05:00.861533Z,2026-07-07T08:05:00.861533+09:00,proxy_resolved,new_scenario,BTCUSDT,long,limit_retest,limit_retest,ACTIVE_LIMIT_RETEST,allowed,limit,63580.2,63484.37,63676.03,63123.36,64174.09,64676.6,"63,484-63,676 へ押し、15分足で反発継続なら候補",sl_first,2026-07-07T11:15:00+09:00,2026-07-07T13:00:00+09:00,sl,0.6015,1.0139,,,,manual_scenario_normalization.v1
manual_scenario_event.v1,sce_58daf7eceac7de2a519eed2b,scn_33284ca443698adb38ec352b,20260707_000500:short:market,db01b25e22bd983ef5da931eeb8f9111,20260707_000500,2026-07-07T00:05:00.357163Z,2026-07-07T09:05:00.357163+09:00,proxy_resolved,new_scenario,BTCUSDT,short,market,market,ACTIVE_MARKET_SMALL,allowed,market,64023.6,63802.37,64028.53,64348.26,63352.8,62876.71,"63,802-64,029 へ戻り、15分足で再失速するなら候補",tp1_first,2026-07-07T09:15:00+09:00,2026-07-07T11:45:00+09:00,tp1,2.3440,0.8455,,,,manual_scenario_normalization.v1
manual_scenario_event.v1,sce_18ebf92ffbe9a494208265ee,scn_9c35824cfe962721796dd208,20260707_010500:long:limit_retest,aa85ca517e2a7d36e2bb716a2b2fe8a6,20260707_010500,2026-07-07T01:05:00.281305Z,2026-07-07T10:05:00.281305+09:00,proxy_resolved,new_scenario,BTCUSDT,long,limit_retest,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,allowed,limit,63986.1,63943.59,64028.61,63624.73,64455.88,64853.38,"63,944-64,029 へ押し、15分足で反発継続なら候補",sl_first,2026-07-07T10:15:00+09:00,2026-07-07T11:15:00+09:00,sl,0.1209,1.2248,,,,manual_scenario_normalization.v1
manual_scenario_event.v1,sce_8941cb7e37b21659d75dd3b4,scn_62b1491bbd88139debebee57,20260707_010500:short:counter_scalp,9c0e992c5c715d7ce537acec49058de3,20260707_010500,2026-07-07T01:05:00.281305Z,2026-07-07T10:05:00.281305+09:00,expired_without_touch,new_scenario,BTCUSDT,short,counter_scalp,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,conditional,conditional,64175.3,64255.59,64365.51,64684.37,63824.59,63413.39,"64,256-64,366 へ戻り、15分足で再失速するなら候補",not_entered,,,,,,,,,manual_scenario_normalization.v1
manual_scenario_event.v1,sce_3608c92c3ac888aea0f6e4cd,scn_9894d86c590fcccdd384eb67,20260707_020500:long:counter_scalp,8537690dde2737cff5d4d8ebba0f7007,20260707_020500,2026-07-07T02:05:00.524144Z,2026-07-07T11:05:00.524144+09:00,proxy_resolved,new_scenario,BTCUSDT,long,counter_scalp,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,conditional,conditional,63815.0,63489.99,63670.41,63171.18,64111.93,64561.85,"63,490-63,670 へ押し、15分足で反発継続なら候補",sl_first,2026-07-07T11:15:00+09:00,2026-07-07T12:30:00+09:00,sl,0.0621,1.0306,,,,manual_scenario_normalization.v1
manual_scenario_event.v1,sce_f086e0f7c6492af29ac21aa8,scn_09554befdd4346e00f620598,20260707_020500:short:limit_retest,7773360e9d5052e069d419f6ba190ebc,20260707_020500,2026-07-07T02:05:00.524144Z,2026-07-07T11:05:00.524144+09:00,proxy_resolved,new_scenario,BTCUSDT,short,limit_retest,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,allowed,limit,63915.45,63802.49,64028.41,64347.22,63354.15,62879.2,"63,802-64,028 へ戻り、15分足で再失速するなら候補",tp1_first,2026-07-07T11:15:00+09:00,2026-07-07T11:45:00+09:00,tp1,1.5120,0.0000,,,,manual_scenario_normalization.v1
manual_scenario_event.v1,sce_4a8f37ef6e1ab332330f7151,scn_6fe7246a593a3494c0761779,20260707_030500:long:counter_scalp,884eadbd60154ebb26dcbce21c6bb0f5,20260707_030500,2026-07-07T03:05:00.283718Z,2026-07-07T12:05:00.283718+09:00,proxy_resolved,new_scenario,BTCUSDT,long,counter_scalp,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,conditional,conditional,63298.2,63102.64,63278.66,62774.44,63731.72,64189.54,"63,103-63,279 へ押し、15分足で反発継続なら候補",sl_first,2026-07-07T12:15:00+09:00,2026-07-07T14:00:00+09:00,sl,0.0895,1.0373,,,,manual_scenario_normalization.v1
manual_scenario_event.v1,sce_e6e002d5391391e88b835057,scn_7d954f07a7f53490e35badc4,20260707_030500:short:limit_retest,62e79c0380aa50d241aba719fc418706,20260707_030500,2026-07-07T03:05:00.283718Z,2026-07-07T12:05:00.283718+09:00,proxy_resolved,new_scenario,BTCUSDT,short,limit_retest,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,allowed,limit,63447.9,63404.14,63491.66,63819.86,62964.36,62555.21,"63,404-63,492 へ戻り、15分足で再失速するなら候補",tp1_first,2026-07-07T16:00:00+09:00,2026-07-07T17:30:00+09:00,tp1,1.3052,0.0000,,,,manual_scenario_normalization.v1
manual_scenario_event.v1,sce_c7c363a337b2231383b73dc7,scn_6fe7246a593a3494c0761779,20260707_040500:long:counter_scalp,8156d14685cd5a405c86b7a8be33d32b,20260707_040500,2026-07-07T04:05:00.862502Z,2026-07-07T13:05:00.862502+09:00,proxy_resolved,matched_existing,BTCUSDT,long,counter_scalp,counter_scalp,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,conditional,conditional,63165.0,63107.11,63274.19,62812.41,63682.36,64098.43,"63,107-63,274 へ押し、15分足で反発継続なら候補",sl_first,2026-07-07T13:15:00+09:00,2026-07-07T14:00:00+09:00,sl,0.2870,1.1631,,,,manual_scenario_normalization.v1
manual_scenario_event.v1,sce_2074690b14986082d5ad12f4,scn_7d954f07a7f53490e35badc4,20260707_040500:short:limit_retest,937c945228776d661f26e4413d4390b3,20260707_040500,2026-07-07T04:05:00.862502Z,2026-07-07T13:05:00.862502+09:00,proxy_resolved,matched_existing,BTCUSDT,short,limit_retest,limit_retest,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,allowed,limit,63212.6,63159.41,63265.79,63560.49,62760.34,62377.66,"63,159-63,266 へ戻り、15分足で再失速するなら候補",tp1_first,2026-07-07T13:15:00+09:00,2026-07-07T14:00:00+09:00,tp1,1.3156,0.1541,,,,manual_scenario_normalization.v1
