schema_version,scenario_id,symbol,side,setup_family,scenario_status,lifecycle_state,initial_candidate_id,latest_candidate_id,initial_signal_id,latest_signal_id,detected_at_utc,detected_at_jst,last_updated_at_utc,last_updated_at_jst,entry_zone_low,entry_zone_high,invalidation_price,tp1_price,tp2_price,candidate_event_count,source_signal_count,zone_touched_at_utc,zone_touched_at_jst,terminal_at_utc,terminal_at_jst,proxy_outcome,proxy_outcome_status,ohlcv_coverage_status,scenario_method_version,max_update_gap_minutes,max_scenario_age_hours,zone_tolerance_bps,invalidation_tolerance_bps
manual_scenario.v1,scn_4d0449087524bf550bc70278,BTCUSDT,long,limit_retest,resolved,proxy_resolved,20260706_230500:long:limit_retest,20260706_230500:long:limit_retest,20260706_230500,20260706_230500,2026-07-06T23:05:00.861533Z,2026-07-07T08:05:00.861533+09:00,2026-07-06T23:05:00.861533Z,2026-07-07T08:05:00.861533+09:00,63484.37,63676.03,63123.36,64174.09,64676.6,1,1,2026-07-07T02:15:00Z,2026-07-07T11:15:00+09:00,2026-07-07T04:00:00Z,2026-07-07T13:00:00+09:00,sl_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_33284ca443698adb38ec352b,BTCUSDT,short,market,resolved,proxy_resolved,20260707_000500:short:market,20260707_000500:short:market,20260707_000500,20260707_000500,2026-07-07T00:05:00.357163Z,2026-07-07T09:05:00.357163+09:00,2026-07-07T00:05:00.357163Z,2026-07-07T09:05:00.357163+09:00,63802.37,64028.53,64348.26,63352.8,62876.71,1,1,2026-07-07T00:15:00Z,2026-07-07T09:15:00+09:00,2026-07-07T02:45:00Z,2026-07-07T11:45:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_62b1491bbd88139debebee57,BTCUSDT,short,counter_scalp,expired,expired_without_touch,20260707_010500:short:counter_scalp,20260707_010500:short:counter_scalp,20260707_010500,20260707_010500,2026-07-07T01:05:00.281305Z,2026-07-07T10:05:00.281305+09:00,2026-07-07T01:05:00.281305Z,2026-07-07T10:05:00.281305+09:00,64255.59,64365.51,64684.37,63824.59,63413.39,1,1,,,2026-07-08T01:05:00.281305Z,2026-07-08T10:05:00.281305+09:00,,expired,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_9c35824cfe962721796dd208,BTCUSDT,long,limit_retest,resolved,proxy_resolved,20260707_010500:long:limit_retest,20260707_010500:long:limit_retest,20260707_010500,20260707_010500,2026-07-07T01:05:00.281305Z,2026-07-07T10:05:00.281305+09:00,2026-07-07T01:05:00.281305Z,2026-07-07T10:05:00.281305+09:00,63943.59,64028.61,63624.73,64455.88,64853.38,1,1,2026-07-07T01:15:00Z,2026-07-07T10:15:00+09:00,2026-07-07T02:15:00Z,2026-07-07T11:15:00+09:00,sl_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_09554befdd4346e00f620598,BTCUSDT,short,limit_retest,resolved,proxy_resolved,20260707_020500:short:limit_retest,20260707_020500:short:limit_retest,20260707_020500,20260707_020500,2026-07-07T02:05:00.524144Z,2026-07-07T11:05:00.524144+09:00,2026-07-07T02:05:00.524144Z,2026-07-07T11:05:00.524144+09:00,63802.49,64028.41,64347.22,63354.15,62879.2,1,1,2026-07-07T02:15:00Z,2026-07-07T11:15:00+09:00,2026-07-07T02:45:00Z,2026-07-07T11:45:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_9894d86c590fcccdd384eb67,BTCUSDT,long,counter_scalp,resolved,proxy_resolved,20260707_020500:long:counter_scalp,20260707_020500:long:counter_scalp,20260707_020500,20260707_020500,2026-07-07T02:05:00.524144Z,2026-07-07T11:05:00.524144+09:00,2026-07-07T02:05:00.524144Z,2026-07-07T11:05:00.524144+09:00,63489.99,63670.41,63171.18,64111.93,64561.85,1,1,2026-07-07T02:15:00Z,2026-07-07T11:15:00+09:00,2026-07-07T03:30:00Z,2026-07-07T12:30:00+09:00,sl_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_6fe7246a593a3494c0761779,BTCUSDT,long,counter_scalp,resolved,proxy_resolved,20260707_030500:long:counter_scalp,20260707_040500:long:counter_scalp,20260707_030500,20260707_040500,2026-07-07T03:05:00.283718Z,2026-07-07T12:05:00.283718+09:00,2026-07-07T04:05:00.862502Z,2026-07-07T13:05:00.862502+09:00,63107.11,63274.19,62812.41,63682.36,64098.43,2,2,2026-07-07T03:15:00Z,2026-07-07T12:15:00+09:00,2026-07-07T05:00:00Z,2026-07-07T14:00:00+09:00,sl_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_7d954f07a7f53490e35badc4,BTCUSDT,short,limit_retest,resolved,proxy_resolved,20260707_030500:short:limit_retest,20260707_040500:short:limit_retest,20260707_030500,20260707_040500,2026-07-07T03:05:00.283718Z,2026-07-07T12:05:00.283718+09:00,2026-07-07T04:05:00.862502Z,2026-07-07T13:05:00.862502+09:00,63159.41,63265.79,63560.49,62760.34,62377.66,2,2,2026-07-07T04:15:00Z,2026-07-07T13:15:00+09:00,2026-07-07T05:00:00Z,2026-07-07T14:00:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_80629cedfe5c89590631ae57,BTCUSDT,long,counter_scalp,resolved,proxy_resolved,20260707_050500:long:counter_scalp,20260707_060500:long:counter_scalp,20260707_050500,20260707_060500,2026-07-07T05:05:00.501045Z,2026-07-07T14:05:00.501045+09:00,2026-07-07T06:05:00.706209Z,2026-07-07T15:05:00.706209+09:00,63079.0,63184.4,62794.03,63570.67,63942.11,2,2,2026-07-07T05:15:00Z,2026-07-07T14:15:00+09:00,2026-07-07T06:45:00Z,2026-07-07T15:45:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_b329f55e70375ba771697a0f,BTCUSDT,short,limit_retest,resolved,proxy_resolved,20260707_050500:short:limit_retest,20260707_060500:short:limit_retest,20260707_050500,20260707_060500,2026-07-07T05:05:00.501045Z,2026-07-07T14:05:00.501045+09:00,2026-07-07T06:05:00.706209Z,2026-07-07T15:05:00.706209+09:00,63046.0,63122.0,63406.97,62664.14,62308.87,2,2,2026-07-07T05:30:00Z,2026-07-07T14:30:00+09:00,2026-07-07T07:00:00Z,2026-07-07T16:00:00+09:00,sl_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_a6edf43705ca63ce7a623d05,BTCUSDT,short,limit_retest,resolved,proxy_resolved,20260707_090500:short:limit_retest,20260707_090500:short:limit_retest,20260707_090500,20260707_090500,2026-07-07T09:05:00.781940Z,2026-07-07T18:05:00.781940+09:00,2026-07-07T09:05:00.781940Z,2026-07-07T18:05:00.781940+09:00,63051.01,63116.99,63364.45,62719.42,62410.92,1,1,2026-07-07T11:00:00Z,2026-07-07T20:00:00+09:00,2026-07-07T11:45:00Z,2026-07-07T20:45:00+09:00,sl_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_f7a513997b7d27eb72925ac5,BTCUSDT,long,counter_scalp,resolved,proxy_resolved,20260707_090500:long:counter_scalp,20260707_140500:long:counter_scalp,20260707_090500,20260707_140500,2026-07-07T09:05:00.781940Z,2026-07-07T18:05:00.781940+09:00,2026-07-07T14:05:00.397678Z,2026-07-07T23:05:00.397678+09:00,62920.92,63003.88,62609.79,63420.79,63809.42,2,2,2026-07-07T14:15:00Z,2026-07-07T23:15:00+09:00,2026-07-07T14:30:00Z,2026-07-07T23:30:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_3bd9c3fd7469f34b607f6801,BTCUSDT,short,counter_scalp,resolved,proxy_resolved,20260707_100500:short:counter_scalp,20260707_110500:short:counter_scalp,20260707_100500,20260707_110500,2026-07-07T10:05:00.170832Z,2026-07-07T19:05:00.170832+09:00,2026-07-07T11:05:00.969186Z,2026-07-07T20:05:00.969186+09:00,63167.1,63297.83,63519.88,62858.83,62542.68,2,2,2026-07-07T10:15:00Z,2026-07-07T19:15:00+09:00,2026-07-07T12:00:00Z,2026-07-07T21:00:00+09:00,sl_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_929e77989d9be58382732eec,BTCUSDT,long,limit_retest,resolved,proxy_resolved,20260707_100500:long:limit_retest,20260707_110500:long:limit_retest,20260707_100500,20260707_110500,2026-07-07T10:05:00.170832Z,2026-07-07T19:05:00.170832+09:00,2026-07-07T11:05:00.969186Z,2026-07-07T20:05:00.969186+09:00,63203.28,63266.52,62981.23,63564.67,63843.7,2,2,2026-07-07T10:30:00Z,2026-07-07T19:30:00+09:00,2026-07-07T12:00:00Z,2026-07-07T21:00:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_79755a50a6ed7b5a9d5cd811,BTCUSDT,short,counter_scalp,resolved,proxy_resolved,20260707_120500:short:counter_scalp,20260707_120500:short:counter_scalp,20260707_120500,20260707_120500,2026-07-07T12:05:00.013666Z,2026-07-07T21:05:00.013666+09:00,2026-07-07T12:05:00.013666Z,2026-07-07T21:05:00.013666+09:00,63389.49,63479.62,63704.97,63083.01,62785.55,1,1,2026-07-07T12:30:00Z,2026-07-07T21:30:00+09:00,2026-07-07T13:15:00Z,2026-07-07T22:15:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_be35bf8500a12c7dc1285e0d,BTCUSDT,long,limit_retest,resolved,proxy_resolved,20260707_120500:long:limit_retest,20260707_120500:long:limit_retest,20260707_120500,20260707_120500,2026-07-07T12:05:00.013666Z,2026-07-07T21:05:00.013666+09:00,2026-07-07T12:05:00.013666Z,2026-07-07T21:05:00.013666+09:00,63203.28,63266.52,62977.93,63568.96,63851.63,1,1,2026-07-07T13:00:00Z,2026-07-07T22:00:00+09:00,2026-07-07T13:30:00Z,2026-07-07T22:30:00+09:00,sl_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_380805f6da6c284a26e79316,BTCUSDT,short,limit_retest,resolved,proxy_resolved,20260707_130501:short:limit_retest,20260707_130501:short:limit_retest,20260707_130501,20260707_130501,2026-07-07T13:05:01.085622Z,2026-07-07T22:05:01.085622+09:00,2026-07-07T13:05:01.085622Z,2026-07-07T22:05:01.085622+09:00,63385.95,63483.15,63747.55,63027.65,62683.34,1,1,2026-07-07T13:45:00Z,2026-07-07T22:45:00+09:00,2026-07-07T13:45:00Z,2026-07-07T22:45:00+09:00,tp1_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
manual_scenario.v1,scn_617429fe34aaac9b5cd48a07,BTCUSDT,short,limit_retest,resolved,proxy_resolved,20260707_140500:short:limit_retest,20260707_140500:short:limit_retest,20260707_140500,20260707_140500,2026-07-07T14:05:00.397678Z,2026-07-07T23:05:00.397678+09:00,2026-07-07T14:05:00.397678Z,2026-07-07T23:05:00.397678+09:00,63042.52,63125.48,63436.61,62625.61,62237.75,1,1,2026-07-07T14:15:00Z,2026-07-07T23:15:00+09:00,2026-07-07T14:45:00Z,2026-07-07T23:45:00+09:00,sl_first,resolved,,manual_scenario_normalization.v1,360,24,25,50
