signal_id,timestamp_jst,current_price,bias,market_regime,transition_direction,primary_setup_side,primary_setup_status,confidence_direction_shadow,confidence_execution_shadow,confidence_wait_shadow,prelabel,trade_execution_gate,trade_execution_blockers,phase1b_lite_gate,phase1b_lite_type,phase1b_lite_reasons,opportunity_gate,opportunity_type,opportunity_reasons,signal_tier,data_quality_flag,no_trade_flags,warning_flags,risk_flags,long_rr,short_rr,trend_flip_state,active_level_role,level_flip_state,failed_breakout_state,nearest_major_support,nearest_major_resistance
20260706_230500,2026-07-07T08:05:00.861533+09:00,64227.2,long,transition,up,long,invalid,70.0,20.0,72.0,NO_TRADE_CANDIDATE,blocked,"[""execution_shadow_too_low"", ""no_trade_flags_present"", ""phase1_inactive"", ""setup_not_ready"", ""wait_pressure_too_high""]",blocked,blocked,"[""blocking_risk_flag:ask_wall_close"", ""blocking_risk_flag:long_flush_exhaustion"", ""not_confidence_watch_learning"", ""prelabel_not_sweep_wait"", ""primary_reason_not_confidence_below_min"", ""primary_setup_not_watch""]",blocked,blocked,"[""require_execution_for_high_wait+suppress_long_high_wait"", ""setup_status_not_watch_or_ready""]",normal,ok,"breakout_follow_candidate,upside_breakout_follow_watch",,"ask_wall_close,long_flush_exhaustion,lower_liquidity_close,sweep_incomplete,resistance_to_support_flip,trend_flip_early_up,resistance_to_support_retest_confirmed",1.3,2.06,early_up,support,resistance_to_support_confirmed,,"{""low"": 63472.33, ""high"": 63711.27, ""mid"": 63591.8, ""kind"": ""support"", ""source"": ""4h"", ""sources"": [""15m"", ""4h""], ""confluence_count"": 2, ""strength"": 115.38, ""reaction_count"": 21, ""wick_rejections"": 25, ""volume_touches"": 49, ""last_touch_age"": 0, ""distance_from_price"": 515.93, ""distance_atr"": 2.1437}","{""low"": 64458.03, ""high"": 64625.87, ""mid"": 64541.95, ""kind"": ""resistance"", ""source"": ""4h"", ""sources"": [""15m"", ""4h""], ""confluence_count"": 2, ""strength"": 32.73, ""reaction_count"": 6, ""wick_rejections"": 8, ""volume_touches"": 8, ""last_touch_age"": 2, ""distance_from_price"": 230.83, ""distance_atr"": 0.9591}"
20260707_000500,2026-07-07T09:05:00.357163+09:00,64023.6,short,transition,up,short,watch,43.0,28.0,51.2,SWEEP_WAIT,blocked,"[""phase1_inactive"", ""setup_not_ready""]",blocked,blocked,"[""blocking_risk_flag:long_flush_exhaustion"", ""direction_below_lite_min"", ""not_confidence_watch_learning"", ""required_risk_flags_missing""]",blocked,blocked,"[""direction_shadow_too_low""]",normal,ok,,Critical_zone_warning,"long_flush_exhaustion,orderbook_bid_heavy,upper_liquidity_close,failed_breakout_down_reversal,long_into_major_resistance,major_resistance_rejection,trend_flip_early_down",1.3,1.3,early_down,resistance,,down_reversal,"{""low"": 63479.21, ""high"": 63704.39, ""mid"": 63591.8, ""kind"": ""support"", ""source"": ""4h"", ""sources"": [""15m"", ""4h""], ""confluence_count"": 2, ""strength"": 113.38, ""reaction_count"": 22, ""wick_rejections"": 23, ""volume_touches"": 48, ""last_touch_age"": 0, ""distance_from_price"": 319.21, ""distance_atr"": 1.4976}","{""low"": 63791.71, ""high"": 64039.19, ""mid"": 63915.45, ""kind"": ""resistance"", ""source"": ""4h"", ""sources"": [""15m"", ""1h"", ""4h""], ""confluence_count"": 3, ""strength"": 198.06, ""reaction_count"": 43, ""wick_rejections"": 42, ""volume_touches"": 69, ""last_touch_age"": 0, ""distance_from_price"": 0.0, ""distance_atr"": 0.0}"
20260707_010500,2026-07-07T10:05:00.281305+09:00,64175.3,long,transition,up,long,invalid,45.0,29.0,57.6,RISKY_ENTRY,blocked,"[""no_trade_flags_present"", ""phase1_inactive"", ""setup_not_ready""]",blocked,blocked,"[""direction_below_lite_min"", ""not_confidence_watch_learning"", ""prelabel_not_sweep_wait"", ""primary_setup_not_watch""]",blocked,blocked,"[""setup_status_not_watch_or_ready""]",normal,ok,"breakout_follow_candidate,long_at_major_resistance_wait_only,upside_breakout_follow_watch",,"lower_liquidity_close,sweep_incomplete,major_resistance_rejection,trend_flip_early_up,short_into_major_support,resistance_to_support_retest_confirmed,long_into_major_resistance,resistance_to_support_flip",1.3,1.3,early_up,support,resistance_to_support_confirmed,,"{""low"": 63932.96, ""high"": 64039.24, ""mid"": 63986.1, ""kind"": ""support"", ""source"": ""15m"", ""sources"": [""15m""], ""confluence_count"": 1, ""strength"": 13.23, ""reaction_count"": 4, ""wick_rejections"": 0, ""volume_touches"": 5, ""last_touch_age"": 1, ""distance_from_price"": 136.06, ""distance_atr"": 0.6401}","{""low"": 64244.96, ""high"": 64376.14, ""mid"": 64310.55, ""kind"": ""resistance"", ""source"": ""15m"", ""sources"": [""15m""], ""confluence_count"": 1, ""strength"": 32.71, ""reaction_count"": 4, ""wick_rejections"": 11, ""volume_touches"": 8, ""last_touch_age"": 0, ""distance_from_price"": 69.66, ""distance_atr"": 0.3277}"
20260707_020500,2026-07-07T11:05:00.524144+09:00,63815.0,short,transition,up,short,invalid,54.0,25.0,48.0,RISKY_ENTRY,blocked,"[""no_trade_flags_present"", ""phase1_inactive"", ""setup_not_ready""]",blocked,blocked,"[""direction_below_lite_min"", ""not_confidence_watch_learning"", ""prelabel_not_sweep_wait"", ""primary_setup_not_watch"", ""required_risk_flags_missing""]",blocked,blocked,"[""setup_status_not_watch_or_ready""]",normal,ok,"breakout_follow_candidate,downside_breakdown_follow_watch,short_at_major_support_wait_only",Critical_zone_warning,"sweep_incomplete,upper_liquidity_close,trend_flip_early_down,support_to_resistance_flip,short_into_major_support,support_to_resistance_retest_confirmed,long_into_major_resistance",1.3,1.3,early_down,resistance,support_to_resistance_confirmed,,"{""low"": 63479.36, ""high"": 63704.24, ""mid"": 63591.8, ""kind"": ""support"", ""source"": ""4h"", ""sources"": [""15m"", ""4h""], ""confluence_count"": 2, ""strength"": 112.88, ""reaction_count"": 22, ""wick_rejections"": 23, ""volume_touches"": 48, ""last_touch_age"": 0, ""distance_from_price"": 110.76, ""distance_atr"": 0.5211}","{""low"": 63791.86, ""high"": 64039.04, ""mid"": 63915.45, ""kind"": ""resistance"", ""source"": ""4h"", ""sources"": [""15m"", ""1h"", ""4h""], ""confluence_count"": 3, ""strength"": 205.75, ""reaction_count"": 46, ""wick_rejections"": 44, ""volume_touches"": 69, ""last_touch_age"": 0, ""distance_from_price"": 0.0, ""distance_atr"": 0.0}"
20260707_030500,2026-07-07T12:05:00.283718+09:00,63298.2,short,transition,up,short,watch,59.0,28.0,43.2,SWEEP_WAIT,blocked,"[""no_trade_flags_present"", ""phase1_inactive"", ""setup_not_ready""]",blocked,blocked,"[""blocking_risk_flag:long_flush_exhaustion"", ""not_confidence_watch_learning"", ""required_risk_flags_missing""]",pass,market_map_opportunity,"[""market_map:failed_breakout_down_reversal"", ""market_map:support_to_resistance_flip""]",normal,ok,"breakout_follow_candidate,downside_breakdown_follow_watch,short_at_major_support_wait_only",,"bid_wall_close,long_flush_exhaustion,sweep_incomplete,major_resistance_rejection,failed_breakout_down_reversal,trend_flip_early_down,support_to_resistance_flip,short_into_major_support,support_to_resistance_retest_confirmed,long_into_major_resistance",1.3,1.3,early_down,resistance,support_to_resistance_confirmed,down_reversal,"{""low"": 63047.3, ""high"": 63289.6, ""mid"": 63168.45, ""kind"": ""support"", ""source"": ""4h"", ""sources"": [""15m"", ""4h""], ""confluence_count"": 2, ""strength"": 156.08, ""reaction_count"": 35, ""wick_rejections"": 41, ""volume_touches"": 47, ""last_touch_age"": 2, ""distance_from_price"": 8.6, ""distance_atr"": 0.0393}","{""low"": 63393.2, ""high"": 63502.6, ""mid"": 63447.9, ""kind"": ""resistance"", ""source"": ""4h"", ""sources"": [""4h"", ""1h""], ""confluence_count"": 2, ""strength"": 68.23, ""reaction_count"": 19, ""wick_rejections"": 11, ""volume_touches"": 20, ""last_touch_age"": 0, ""distance_from_price"": 95.0, ""distance_atr"": 0.4342}"
20260707_040500,2026-07-07T13:05:00.862502+09:00,63165.0,short,range,,short,invalid,30.0,16.0,70.4,NO_TRADE_CANDIDATE,blocked,"[""execution_shadow_too_low"", ""no_trade_flags_present"", ""phase1_inactive"", ""setup_not_ready"", ""wait_pressure_too_high""]",blocked,blocked,"[""blocking_risk_flag:long_flush_exhaustion"", ""direction_below_lite_min"", ""execution_below_lite_min"", ""not_confidence_watch_learning"", ""prelabel_not_sweep_wait"", ""primary_setup_not_watch"", ""required_risk_flags_missing""]",blocked,blocked,"[""direction_shadow_too_low"", ""require_execution_for_high_wait"", ""setup_status_not_watch_or_ready""]",normal,ok,"breakout_follow_candidate,downside_breakdown_follow_watch,short_at_major_support_wait_only",Critical_zone_warning,"bid_wall_close,long_flush_exhaustion,sweep_incomplete,upper_liquidity_close,failed_breakout_up_reversal,trend_flip_confirmed_down,support_to_resistance_flip,short_into_major_support,support_to_resistance_retest_confirmed,major_support_rejection,long_into_major_resistance",1.3,1.3,confirmed_down,resistance,support_to_resistance_confirmed,up_reversal,"{""low"": 63052.88, ""high"": 63203.72, ""mid"": 63128.3, ""kind"": ""support"", ""source"": ""4h"", ""sources"": [""15m"", ""4h""], ""confluence_count"": 2, ""strength"": 115.25, ""reaction_count"": 28, ""wick_rejections"": 29, ""volume_touches"": 32, ""last_touch_age"": 0, ""distance_from_price"": 0.0, ""distance_atr"": 0.0}","{""low"": 63149.58, ""high"": 63275.62, ""mid"": 63212.6, ""kind"": ""resistance"", ""source"": ""4h"", ""sources"": [""4h"", ""1h"", ""15m""], ""confluence_count"": 3, ""strength"": 115.0, ""reaction_count"": 29, ""wick_rejections"": 24, ""volume_touches"": 36, ""last_touch_age"": 0, ""distance_from_price"": 0.0, ""distance_atr"": 0.0}"
20260707_050500,2026-07-07T14:05:00.501045+09:00,63069.0,short,range,,short,invalid,60.0,13.0,75.2,NO_TRADE_CANDIDATE,blocked,"[""execution_shadow_too_low"", ""no_trade_flags_present"", ""phase1_inactive"", ""setup_not_ready"", ""wait_pressure_too_high""]",blocked,blocked,"[""blocking_risk_flag:long_flush_exhaustion"", ""execution_below_lite_min"", ""not_confidence_watch_learning"", ""prelabel_not_sweep_wait"", ""primary_setup_not_watch"", ""required_risk_flags_missing""]",blocked,blocked,"[""require_execution_for_high_wait"", ""setup_status_not_watch_or_ready""]",normal,ok,"breakout_follow_candidate,downside_breakdown_follow_watch,short_at_major_support_wait_only",Critical_zone_warning,"bid_wall_close,long_flush_exhaustion,orderbook_bid_heavy,sweep_incomplete,upper_liquidity_close,trend_flip_confirmed_down,support_to_resistance_flip,short_into_major_support,support_to_resistance_retest_confirmed,long_into_major_resistance",1.3,1.3,confirmed_down,resistance,support_to_resistance_confirmed,,"{""low"": 62762.64, ""high"": 62958.06, ""mid"": 62860.35, ""kind"": ""support"", ""source"": ""15m"", ""sources"": [""15m""], ""confluence_count"": 1, ""strength"": 151.0, ""reaction_count"": 40, ""wick_rejections"": 34, ""volume_touches"": 55, ""last_touch_age"": 52, ""distance_from_price"": 110.94, ""distance_atr"": 0.6239}","{""low"": 62967.64, ""high"": 63128.46, ""mid"": 63048.05, ""kind"": ""resistance"", ""source"": ""1h"", ""sources"": [""15m"", ""1h""], ""confluence_count"": 2, ""strength"": 83.5, ""reaction_count"": 23, ""wick_rejections"": 18, ""volume_touches"": 24, ""last_touch_age"": 0, ""distance_from_price"": 0.0, ""distance_atr"": 0.0}"
20260707_060500,2026-07-07T15:05:00.706209+09:00,63095.1,short,range,,short,invalid,66.0,16.0,70.4,NO_TRADE_CANDIDATE,blocked,"[""execution_shadow_too_low"", ""no_trade_flags_present"", ""phase1_inactive"", ""setup_not_ready"", ""wait_pressure_too_high""]",blocked,blocked,"[""execution_below_lite_min"", ""not_confidence_watch_learning"", ""prelabel_not_sweep_wait"", ""primary_setup_not_watch"", ""required_risk_flags_missing""]",blocked,blocked,"[""require_execution_for_high_wait"", ""setup_status_not_watch_or_ready""]",normal,ok,"breakout_follow_candidate,downside_breakdown_follow_watch,short_at_major_support_wait_only",Critical_zone_warning,"bid_wall_close,short_cover_risk,sweep_incomplete,upper_liquidity_close,short_into_major_support,long_into_major_resistance,trend_flip_confirmed_down,major_resistance_rejection,failed_breakout_down_reversal,support_to_resistance_retest_confirmed,support_to_resistance_flip",1.3,1.3,confirmed_down,resistance,support_to_resistance_confirmed,down_reversal,"{""low"": 63069.5, ""high"": 63193.9, ""mid"": 63131.7, ""kind"": ""support"", ""source"": ""4h"", ""sources"": [""15m"", ""4h""], ""confluence_count"": 2, ""strength"": 82.25, ""reaction_count"": 19, ""wick_rejections"": 21, ""volume_touches"": 24, ""last_touch_age"": 0, ""distance_from_price"": 0.0, ""distance_atr"": 0.0}","{""low"": 62964.6, ""high"": 63131.5, ""mid"": 63048.05, ""kind"": ""resistance"", ""source"": ""1h"", ""sources"": [""15m"", ""1h""], ""confluence_count"": 2, ""strength"": 86.48, ""reaction_count"": 23, ""wick_rejections"": 18, ""volume_touches"": 28, ""last_touch_age"": 0, ""distance_from_price"": 0.0, ""distance_atr"": 0.0}"
20260707_090500,2026-07-07T18:05:00.781940+09:00,63074.0,short,range,,short,watch,27.0,20.0,72.0,SWEEP_WAIT,blocked,"[""execution_shadow_too_low"", ""no_trade_flags_present"", ""phase1_inactive"", ""setup_not_ready"", ""wait_pressure_too_high""]",blocked,blocked,"[""direction_below_lite_min"", ""not_confidence_watch_learning"", ""required_risk_flags_missing""]",blocked,blocked,"[""direction_shadow_too_low"", ""require_execution_for_high_wait""]",normal,ok,"breakout_follow_candidate,downside_breakdown_follow_watch,short_at_major_support_wait_only",Critical_zone_warning,"cvd_bearish_divergence,orderbook_bid_heavy,sweep_incomplete,upper_liquidity_close,support_to_resistance_retest_confirmed,support_to_resistance_flip,trend_flip_early_down,major_resistance_rejection,long_into_major_resistance,short_into_major_support",1.3,1.3,early_down,resistance,support_to_resistance_confirmed,,"{""low"": 62872.36, ""high"": 62954.84, ""mid"": 62913.6, ""kind"": ""support"", ""source"": ""15m"", ""sources"": [""15m""], ""confluence_count"": 1, ""strength"": 55.02, ""reaction_count"": 15, ""wick_rejections"": 12, ""volume_touches"": 19, ""last_touch_age"": 11, ""distance_from_price"": 119.16, ""distance_atr"": 0.7223}","{""low"": 63042.76, ""high"": 63125.24, ""mid"": 63084.0, ""kind"": ""resistance"", ""source"": ""1h"", ""sources"": [""1h""], ""confluence_count"": 1, ""strength"": 49.75, ""reaction_count"": 14, ""wick_rejections"": 10, ""volume_touches"": 15, ""last_touch_age"": 0, ""distance_from_price"": 0.0, ""distance_atr"": 0.0}"
20260707_100500,2026-07-07T19:05:00.170832+09:00,63226.1,long,range,,long,invalid,34.0,24.0,73.6,RISKY_ENTRY,blocked,"[""no_trade_flags_present"", ""phase1_inactive"", ""setup_not_ready"", ""wait_pressure_too_high""]",blocked,blocked,"[""direction_below_lite_min"", ""not_confidence_watch_learning"", ""prelabel_not_sweep_wait"", ""primary_setup_not_watch""]",blocked,blocked,"[""direction_shadow_too_low"", ""setup_status_not_watch_or_ready""]",normal,ok,"breakout_follow_candidate,long_at_major_resistance_wait_only,upside_breakout_follow_watch",Critical_zone_warning,"lower_liquidity_close,sweep_incomplete,failed_breakout_down_reversal,resistance_to_support_flip,resistance_to_support_retest_confirmed,trend_flip_early_down,major_resistance_rejection,long_into_major_resistance,short_into_major_support",1.3,1.3,early_down,support,resistance_to_support_confirmed,down_reversal,"{""low"": 63195.72, ""high"": 63274.08, ""mid"": 63234.9, ""kind"": ""support"", ""source"": ""4h"", ""sources"": [""4h""], ""confluence_count"": 1, ""strength"": 43.5, ""reaction_count"": 11, ""wick_rejections"": 9, ""volume_touches"": 13, ""last_touch_age"": 0, ""distance_from_price"": 0.0, ""distance_atr"": 0.0}","{""low"": 63159.52, ""high"": 63305.38, ""mid"": 63232.45, ""kind"": ""resistance"", ""source"": ""4h"", ""sources"": [""4h"", ""1h"", ""15m""], ""confluence_count"": 3, ""strength"": 162.75, ""reaction_count"": 39, ""wick_rejections"": 39, ""volume_touches"": 50, ""last_touch_age"": 0, ""distance_from_price"": 0.0, ""distance_atr"": 0.0}"
