schema_version,method_version,episode_id,policy,precursor_side,first_signal_id,first_timestamp_utc,first_timestamp_jst,current_bias,current_was_notified,event_price,event_atr_15m,phase,regime,reason_codes,source_signal_count,outcome_1h,outcome_2h,outcome_4h,matching_move_distance,opposing_move_distance,matching_move_atr,opposing_move_atr,first_match_timestamp,lead_minutes_to_material_move,comparison_status,data_quality_status
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-b4a338aa5fd92e89,POLICY_THESIS_STRESS,DOWN,20260706_230500,2026-07-06T23:05:00.861533Z,2026-07-07T08:05:00.861533+09:00,long,False,64227.2,240.6701,range,transition,"bullish_flip_conflicted,high_location_risk,high_wait_pressure,primary_setup_invalid",1,no_large_move,no_large_move,large_down,991.6,70.9,4.120163,0.294594,2026-07-07T02:15:00+00:00,189.986,caught_before_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-219550acfa7acaee,POLICY_COMBINED_PRECURSOR,DOWN,20260707_010500,2026-07-07T01:05:00.281305Z,2026-07-07T10:05:00.281305+09:00,long,True,64175.3,212.5716,range,transition,"at_major_resistance,bullish_flip_conflicted,dominant_long_under_stress,major_resistance_rejection,primary_setup_invalid",1,no_large_move,large_down,large_down,1420.4,-145.5,6.681984,-0.684475,2026-07-07T02:15:00+00:00,69.995,caught_before_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-6c0a5ccaa1c304df,POLICY_CURRENT_NOTIFICATION,UP,20260707_010500,2026-07-07T01:05:00.281305Z,2026-07-07T10:05:00.281305+09:00,long,True,64175.3,212.5716,range,transition,dominant_long_under_stress,1,no_large_move,large_down,large_down,-145.5,1420.4,-0.684475,6.681984,,,opposite_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-071e28e3c8f9931c,POLICY_FAILED_FLIP_GUARD,DOWN,20260707_010500,2026-07-07T01:05:00.281305Z,2026-07-07T10:05:00.281305+09:00,long,True,64175.3,212.5716,range,transition,"at_major_resistance,bullish_flip_conflicted,dominant_long_under_stress,major_resistance_rejection,primary_setup_invalid",1,no_large_move,large_down,large_down,1420.4,-145.5,6.681984,-0.684475,2026-07-07T02:15:00+00:00,69.995,caught_before_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-7fadc94efbdd2deb,POLICY_LEVEL_REJECTION,DOWN,20260707_010500,2026-07-07T01:05:00.281305Z,2026-07-07T10:05:00.281305+09:00,long,True,64175.3,212.5716,range,transition,"at_major_resistance,bullish_flip_conflicted,dominant_long_under_stress,major_resistance_rejection,primary_setup_invalid",1,no_large_move,large_down,large_down,1420.4,-145.5,6.681984,-0.684475,2026-07-07T02:15:00+00:00,69.995,caught_before_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-69826ecc27a9d346,POLICY_THESIS_STRESS,DOWN,20260707_010500,2026-07-07T01:05:00.281305Z,2026-07-07T10:05:00.281305+09:00,long,True,64175.3,212.5716,range,transition,"at_major_resistance,bullish_flip_conflicted,dominant_long_under_stress,major_resistance_rejection,primary_setup_invalid",1,no_large_move,large_down,large_down,1420.4,-145.5,6.681984,-0.684475,2026-07-07T02:15:00+00:00,69.995,caught_before_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-3382e1abea4b8c9e,POLICY_THESIS_STRESS,UP,20260707_020500,2026-07-07T02:05:00.524144Z,2026-07-07T11:05:00.524144+09:00,short,False,63815.0,212.5412,range,transition,"at_major_support,bearish_flip_conflicted,dominant_short_under_stress,primary_setup_invalid",1,large_down,large_down,large_down,40.0,1060.1,0.188199,4.987739,,,opposite_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-49164dc30188d5ba,POLICY_CURRENT_NOTIFICATION,DOWN,20260707_030500,2026-07-07T03:05:00.283718Z,2026-07-07T12:05:00.283718+09:00,short,True,63298.2,218.797,range,transition,dominant_short_under_stress,1,no_large_move,large_down,large_down,543.3,123.0,2.483124,0.562165,2026-07-07T05:00:00+00:00,114.995,caught_before_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-f82cd2b42f716155,POLICY_COMBINED_PRECURSOR,UP,20260707_040500,2026-07-07T04:05:00.862502Z,2026-07-07T13:05:00.862502+09:00,short,False,63165.0,196.4666,range,range,"at_major_support,bearish_flip_conflicted,dominant_short_under_stress,failed_breakout_up_reversal,high_location_risk,high_wait_pressure,major_support_rejection,primary_setup_invalid",1,large_down,large_down,large_down,256.2,410.1,1.304038,2.087378,,,opposite_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-157fc1f691505910,POLICY_FAILED_FLIP_GUARD,UP,20260707_040500,2026-07-07T04:05:00.862502Z,2026-07-07T13:05:00.862502+09:00,short,False,63165.0,196.4666,range,range,"at_major_support,bearish_flip_conflicted,dominant_short_under_stress,failed_breakout_up_reversal,high_location_risk,high_wait_pressure,major_support_rejection,primary_setup_invalid",1,large_down,large_down,large_down,256.2,410.1,1.304038,2.087378,,,opposite_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-95884e4dc839d71b,POLICY_LEVEL_REJECTION,UP,20260707_040500,2026-07-07T04:05:00.862502Z,2026-07-07T13:05:00.862502+09:00,short,False,63165.0,196.4666,range,range,"at_major_support,bearish_flip_conflicted,dominant_short_under_stress,failed_breakout_up_reversal,high_location_risk,high_wait_pressure,major_support_rejection,primary_setup_invalid",1,large_down,large_down,large_down,256.2,410.1,1.304038,2.087378,,,opposite_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-93099016b5a620c1,POLICY_THESIS_STRESS,UP,20260707_040500,2026-07-07T04:05:00.862502Z,2026-07-07T13:05:00.862502+09:00,short,False,63165.0,196.4666,range,range,"at_major_support,bearish_flip_conflicted,dominant_short_under_stress,failed_breakout_up_reversal,high_location_risk,high_wait_pressure,major_support_rejection,primary_setup_invalid",3,large_down,large_down,large_down,256.2,410.1,1.304038,2.087378,,,opposite_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-0a4cff5d815b54b3,POLICY_CURRENT_NOTIFICATION,DOWN,20260707_050500,2026-07-07T05:05:00.501045Z,2026-07-07T14:05:00.501045+09:00,short,True,63069.0,177.8207,range,range,dominant_short_under_stress,1,no_large_move,no_large_move,no_large_move,285.5,352.2,1.60555,1.980647,,,false_precursor,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-d5f6c8ac7a246fc3,POLICY_THESIS_STRESS,UP,20260707_090500,2026-07-07T09:05:00.781940Z,2026-07-07T18:05:00.781940+09:00,short,False,63074.0,164.9725,reversal_risk,range,"at_major_support,bearish_flip_conflicted,bullish_microstructure_pressure,dominant_short_under_stress,high_location_risk,high_wait_pressure,reversal_risk_phase",1,large_up,large_up,large_up,776.9,-4.6,4.70927,-0.027883,2026-07-07T10:00:00+00:00,54.987,caught_before_move,resolved
