schema_version,method_version,episode_id,policy,precursor_side,first_signal_id,first_timestamp_utc,first_timestamp_jst,current_bias,current_was_notified,event_price,event_atr_15m,phase,regime,reason_codes,source_signal_count,outcome_1h,outcome_2h,outcome_4h,matching_move_distance,opposing_move_distance,matching_move_atr,opposing_move_atr,first_match_timestamp,lead_minutes_to_material_move,comparison_status,data_quality_status
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-00001,POLICY_CURRENT_NOTIFICATION,DOWN,20260315_220500,2026-03-15T22:05:00.762829Z,2026-03-16T07:05:00.762829+09:00,long,True,72074.6,198.0063,reversal_risk,transition,dominant_long_under_stress,1,large_down,large_down,large_down,8319.6,-7614.3,42.016845,-38.454837,2026-07-06T22:15:00+00:00,162729.987,caught_before_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-00002,POLICY_CURRENT_NOTIFICATION,DOWN,20260316_072743,2026-03-16T07:27:43.079196Z,2026-03-16T16:27:43.079196+09:00,long,True,73818.9,328.5105,range,transition,dominant_long_under_stress,2,large_down,large_down,large_down,10063.9,-9358.6,30.634942,-28.487978,2026-07-06T22:15:00+00:00,162167.282,caught_before_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-00003,POLICY_CURRENT_NOTIFICATION,DOWN,20260316_140500,2026-03-16T14:05:00.302401Z,2026-03-16T23:05:00.302401+09:00,long,True,74075.7,307.3889,pullback,uptrend,dominant_long_under_stress,2,large_down,large_down,large_down,10320.7,-9615.4,33.575383,-31.280895,2026-07-06T22:15:00+00:00,161769.995,caught_before_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-00004,POLICY_CURRENT_NOTIFICATION,DOWN,20260316_180500,2026-03-16T18:05:00.286002Z,2026-03-17T03:05:00.286002+09:00,long,True,73911.8,352.4527,pullback,uptrend,dominant_long_under_stress,1,large_down,large_down,large_down,10156.8,-9451.5,28.817484,-26.816364,2026-07-06T22:15:00+00:00,161529.995,caught_before_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-00005,POLICY_CURRENT_NOTIFICATION,DOWN,20260317_140500,2026-03-17T14:05:00.524548Z,2026-03-17T23:05:00.524548+09:00,long,True,73580.7,283.5721,pullback,uptrend,dominant_long_under_stress,2,large_down,large_down,large_down,9825.7,-9120.4,34.649742,-32.162543,2026-07-06T22:15:00+00:00,160329.991,caught_before_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-00006,POLICY_CURRENT_NOTIFICATION,DOWN,20260317_190500,2026-03-17T19:05:00.993255Z,2026-03-18T04:05:00.993255+09:00,long,True,74637.0,303.654,pullback,uptrend,dominant_long_under_stress,2,large_down,large_down,large_down,10882.0,-10176.7,35.836841,-33.514131,2026-07-06T22:15:00+00:00,160029.983,caught_before_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-00007,POLICY_CURRENT_NOTIFICATION,DOWN,20260317_230500,2026-03-17T23:05:00.133873Z,2026-03-18T08:05:00.133873+09:00,long,True,74265.9,260.302,pullback,uptrend,dominant_long_under_stress,1,large_down,large_down,large_down,10510.9,-9805.6,40.379636,-37.670091,2026-07-06T22:15:00+00:00,159789.998,caught_before_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-00008,POLICY_CURRENT_NOTIFICATION,DOWN,20260318_021618,2026-03-18T02:16:18.031029Z,2026-03-18T11:16:18.031029+09:00,long,True,74242.4,236.0564,pullback,uptrend,dominant_long_under_stress,2,large_down,large_down,large_down,10487.4,-9782.1,44.427518,-41.439673,2026-07-06T22:15:00+00:00,159598.699,caught_before_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-00009,POLICY_CURRENT_NOTIFICATION,DOWN,20260318_100500,2026-03-18T10:05:00.063803Z,2026-03-18T19:05:00.063803+09:00,long,True,74138.1,166.8018,pullback,uptrend,dominant_long_under_stress,2,large_down,large_down,large_down,10383.1,-9677.8,62.248129,-58.019758,2026-07-06T22:15:00+00:00,159129.999,caught_before_move,resolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-00010,POLICY_CURRENT_NOTIFICATION,DOWN,20260318_131848,2026-03-18T13:18:48.042616Z,2026-03-18T22:18:48.042616+09:00,long,True,72399.8,269.8218,reversal_risk,uptrend,dominant_long_under_stress,2,large_down,large_down,large_down,8644.8,-7939.5,32.038923,-29.424976,2026-07-06T22:15:00+00:00,158936.199,caught_before_move,resolved
