schema_version,method_version,episode_id,policy,precursor_side,first_signal_id,first_timestamp_utc,first_timestamp_jst,current_bias,current_was_notified,event_price,event_atr_15m,phase,regime,reason_codes,source_signal_count,outcome_1h,outcome_2h,outcome_4h,matching_move_distance,opposing_move_distance,matching_move_atr,opposing_move_atr,first_match_timestamp,lead_minutes_to_material_move,comparison_status,data_quality_status
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-fb213fe824cfdc1a,POLICY_THESIS_STRESS,UP,20260310_160500,2026-03-10T16:05:00.806913Z,2026-03-11T01:05:00.806913+09:00,short,False,71296.3,479.9557,range,transition,"bullish_microstructure_pressure,high_location_risk,primary_setup_invalid",1,unresolved,unresolved,unresolved,,,,,,,unresolved,unresolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-c41d77520bfc5c61,POLICY_THESIS_STRESS,DOWN,20260310_190500,2026-03-10T19:05:00.432042Z,2026-03-11T04:05:00.432042+09:00,long,False,69975.1,451.6341,reversal_risk,transition,reversal_risk_phase,1,unresolved,unresolved,unresolved,,,,,,,unresolved,unresolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-b770d42e7fe30fe1,POLICY_THESIS_STRESS,DOWN,20260310_220500,2026-03-10T22:05:00.418637Z,2026-03-11T07:05:00.418637+09:00,long,False,69712.8,351.302,reversal_risk,transition,reversal_risk_phase,2,unresolved,unresolved,unresolved,,,,,,,unresolved,unresolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-2ba26ba2d62de18a,POLICY_THESIS_STRESS,UP,20260311_020500,2026-03-11T02:05:00.760534Z,2026-03-11T11:05:00.760534+09:00,short,False,70027.9,269.5941,range,transition,"bullish_microstructure_pressure,high_location_risk,primary_setup_invalid",1,unresolved,unresolved,unresolved,,,,,,,unresolved,unresolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-2d9a3c2c57aa51e1,POLICY_THESIS_STRESS,DOWN,20260311_080500,2026-03-11T08:05:00.626989Z,2026-03-11T17:05:00.626989+09:00,long,False,69622.2,227.298,range,transition,"high_location_risk,primary_setup_invalid",1,unresolved,unresolved,unresolved,,,,,,,unresolved,unresolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-ddfe96f978e018c3,POLICY_THESIS_STRESS,DOWN,20260311_120511,2026-03-11T12:05:11.220152Z,2026-03-11T21:05:11.220152+09:00,long,False,69143.5,216.1209,range,range,"bearish_microstructure_pressure,high_location_risk,primary_setup_invalid",1,unresolved,unresolved,unresolved,,,,,,,unresolved,unresolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-0af5e398e9ccbc97,POLICY_THESIS_STRESS,UP,20260311_150500,2026-03-11T15:05:00.025973Z,2026-03-12T00:05:00.025973+09:00,short,False,70536.7,433.2739,range,range,"bullish_microstructure_pressure,high_location_risk,primary_setup_invalid",1,unresolved,unresolved,unresolved,,,,,,,unresolved,unresolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-b20945d3fc41ffe7,POLICY_THESIS_STRESS,DOWN,20260311_230500,2026-03-11T23:05:00.609224Z,2026-03-12T08:05:00.609224+09:00,long,False,70329.2,281.9702,reversal_risk,transition,"bearish_microstructure_pressure,high_location_risk,primary_setup_invalid,reversal_risk_phase",1,unresolved,unresolved,unresolved,,,,,,,unresolved,unresolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-24e30622432121e8,POLICY_THESIS_STRESS,DOWN,20260312_170500,2026-03-12T17:05:00.595067Z,2026-03-13T02:05:00.595067+09:00,long,False,70329.9,396.4817,reversal_risk,transition,"bearish_microstructure_pressure,high_location_risk,primary_setup_invalid,reversal_risk_phase",1,unresolved,unresolved,unresolved,,,,,,,unresolved,unresolved
turning_volatility_precursor_replay.v1,turning_volatility_precursor_replay.v1,TVP-d1b37964e4d39a69,POLICY_THESIS_STRESS,DOWN,20260312_210500,2026-03-12T21:05:00.808152Z,2026-03-13T06:05:00.808152+09:00,long,False,70127.1,271.2956,range,transition,"bearish_microstructure_pressure,high_location_risk,primary_setup_invalid",1,unresolved,unresolved,unresolved,,,,,,,unresolved,unresolved
